Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,target
11274,44,7,0,1,0,608,1,1,2,18,6,19,30,-1,0,3,0
36773,28,9,2,1,0,1453,1,0,0,12,8,246,1,343,1,1,0
27217,42,0,2,1,0,2095,1,0,0,21,9,752,3,-1,0,3,0
35629,43,4,1,2,0,9,1,0,1,8,8,142,3,358,3,0,0
29306,41,4,2,2,0,601,1,1,0,2,3,457,2,-1,0,3,0
14055,33,9,1,2,0,236,1,0,0,11,5,203,1,-1,0,3,0
42125,44,0,1,1,0,205,0,0,0,3,9,289,1,-1,0,3,1
32014,24,9,2,1,0,139,0,0,0,14,0,259,1,-1,0,3,0
3879,51,1,1,0,0,1194,1,0,2,16,8,558,3,-1,0,3,0
17185,55,2,1,1,0,814,0,1,0,28,5,69,12,-1,0,3,0
6691,27,9,2,1,0,2430,1,0,2,28,8,297,1,-1,0,3,0
7045,45,7,2,1,0,1377,1,0,2,28,8,171,5,-1,0,3,0
28832,56,9,1,0,0,314,1,1,0,30,4,108,2,2,5,1,0
3055,44,4,1,2,0,474,1,1,2,14,8,183,4,-1,0,3,0
9510,39,3,2,1,0,2022,0,0,2,6,6,105,1,-1,0,3,0
11907,37,1,1,0,0,1779,1,0,2,20,6,34,3,-1,0,3,0
765,51,1,0,1,0,421,1,0,2,6,8,216,2,-1,0,3,0
32477,37,4,1,2,0,1594,1,0,0,17,0,110,1,260,5,0,0
19229,51,1,1,1,0,187,1,0,0,6,1,277,3,-1,0,3,0
2741,48,1,1,0,0,9004,0,0,2,14,8,158,3,-1,0,3,0
39968,42,1,1,1,0,2913,0,0,0,3,6,705,1,195,1,0,1
36231,32,4,0,2,0,1145,1,0,0,11,8,580,1,350,4,2,0
13434,30,4,1,2,0,0,1,0,0,9,5,127,1,-1,0,3,0
8216,48,2,1,1,0,2247,1,0,2,2,6,60,9,-1,0,3,0
5813,29,1,1,0,0,258,1,0,2,26,8,130,1,-1,0,3,0
2285,38,4,1,2,0,551,1,0,2,12,8,1875,4,-1,0,3,0
44539,51,1,1,1,0,2007,1,0,0,12,1,1226,3,-1,0,3,1
29067,38,9,1,2,0,447,1,0,0,2,3,224,1,269,1,0,0
1992,34,2,0,2,0,338,1,0,2,9,8,162,2,-1,0,3,0
43071,26,0,2,2,0,2532,1,1,0,18,3,269,1,-1,0,3,1
2263,33,2,2,1,0,339,1,0,2,12,8,212,2,-1,0,3,0
26110,32,1,1,1,0,254,1,0,0,19,9,1720,3,-1,0,3,1
9967,49,4,1,1,0,321,0,0,2,9,6,135,3,-1,0,3,0
35384,53,1,1,1,0,148,1,0,0,7,8,66,1,359,1,0,0
2565,46,1,0,0,0,274,1,0,2,13,8,20,1,-1,0,3,0
18257,54,4,1,2,0,1938,1,0,1,31,5,81,7,-1,0,3,0
41241,59,10,1,1,0,1047,0,0,0,21,1,438,1,184,3,2,1
24117,27,4,2,2,0,185,0,0,0,31,10,18,1,-1,0,3,0
3988,36,1,1,1,0,513,1,0,2,16,8,427,3,-1,0,3,0
10639,53,1,1,0,0,4641,0,0,2,16,6,356,2,-1,0,3,0
15283,46,1,0,1,0,709,1,0,0,18,5,100,4,-1,0,3,0
33774,19,8,2,0,0,1247,0,0,0,23,0,94,1,-1,0,3,0
30434,40,0,1,1,0,367,1,0,1,5,3,89,1,274,1,0,0
602,37,7,2,3,0,-118,1,0,2,6,8,147,2,-1,0,3,0
32664,44,1,1,0,0,228,1,0,0,17,0,273,1,343,1,1,0
25789,52,1,0,0,0,3990,0,0,0,19,9,1548,1,153,1,1,0
27780,33,1,1,1,1,-354,1,1,0,28,4,104,1,245,2,0,0
29888,46,1,1,1,0,182,0,0,0,4,3,56,1,-1,0,3,0
25487,38,9,1,2,0,11766,1,0,0,19,9,280,1,-1,0,3,0
12982,31,1,1,0,0,76,0,1,1,7,5,146,4,-1,0,3,0
2834,53,9,1,1,0,8417,1,0,2,14,8,435,1,-1,0,3,0
31321,32,2,2,2,0,-34,1,0,0,11,7,101,1,-1,0,3,1
11170,40,9,1,2,0,397,0,0,2,18,6,50,1,-1,0,3,0
22923,32,4,2,2,0,2536,1,0,0,26,1,958,6,-1,0,3,1
30861,45,4,1,1,0,1134,0,1,0,9,3,102,4,-1,0,3,0
40085,35,1,1,1,0,563,0,1,0,4,6,147,1,119,3,0,1
37088,38,1,1,0,0,354,1,0,1,13,8,47,1,-1,0,3,0
14011,52,1,1,0,0,142,0,0,1,10,5,924,5,-1,0,3,0
1759,43,0,1,1,0,616,1,0,2,9,8,168,2,-1,0,3,0
6907,29,4,1,2,0,8089,1,0,2,28,8,314,2,-1,0,3,0
5012,40,7,0,1,0,0,0,0,2,21,8,111,4,-1,0,3,0
12777,29,0,1,1,0,488,0,1,0,7,5,223,1,-1,0,3,0
25879,59,5,1,0,0,741,0,0,0,19,9,194,2,152,2,0,0
10609,46,2,1,1,0,757,0,0,2,16,6,382,3,-1,0,3,0
38127,38,4,1,1,0,10357,0,0,0,15,8,103,3,-1,0,3,0
24516,56,4,1,2,0,0,0,0,0,17,9,194,1,-1,0,3,0
3385,42,7,1,3,0,8,1,0,2,15,8,299,1,-1,0,3,0
31496,54,4,0,2,0,5399,0,1,0,2,0,80,3,-1,0,3,0
183,38,9,1,1,0,253,1,0,2,5,8,416,1,-1,0,3,0
8949,36,10,2,1,0,244,1,0,2,4,6,702,2,-1,0,3,0
17180,42,1,1,0,0,7041,1,0,0,28,5,386,4,-1,0,3,0
36930,25,0,2,1,0,53,1,0,0,12,8,213,6,-1,0,3,0
14267,37,6,1,1,0,2575,1,0,0,14,5,505,2,-1,0,3,0
30914,38,4,1,1,0,844,0,0,0,9,3,12,7,-1,0,3,0
30737,47,6,1,2,0,917,0,0,0,6,3,518,3,212,5,0,0
5132,30,1,1,3,0,198,1,0,2,21,8,149,3,-1,0,3,0
36236,36,2,1,1,0,0,1,0,0,11,8,187,1,174,1,0,0
14138,52,7,1,1,0,5,1,1,0,11,5,94,2,-1,0,3,0
22610,37,3,1,0,0,655,1,0,0,22,1,160,1,-1,0,3,0
21103,43,4,1,2,0,4016,1,0,0,14,1,159,2,-1,0,3,0
26587,30,7,1,1,0,10667,0,0,0,20,9,140,1,-1,0,3,0
13241,45,9,0,1,0,146,0,0,0,8,5,216,1,-1,0,3,0
32378,41,0,2,1,0,669,1,0,0,16,0,375,2,-1,0,3,0
38212,32,4,2,2,0,336,0,0,0,15,8,64,4,-1,0,3,0
13221,34,0,1,1,0,233,1,1,0,8,5,303,1,-1,0,3,0
38062,33,1,2,1,0,-14,1,0,0,14,8,223,2,-1,0,3,0
11211,39,7,1,2,0,6497,0,0,2,18,6,567,1,-1,0,3,0
9779,37,1,1,0,0,178,1,1,2,9,6,72,1,-1,0,3,0
9481,36,7,0,1,0,1594,0,0,2,6,6,250,3,-1,0,3,0
8442,40,6,1,1,1,-754,1,1,2,3,6,941,3,-1,0,3,1
33355,50,4,1,2,0,1822,1,0,0,20,0,6,1,-1,0,3,0
32088,29,10,2,1,0,25,0,0,0,14,0,207,2,-1,0,3,1
35966,34,1,1,0,0,174,1,0,0,8,8,405,3,-1,0,3,0
233,53,1,1,3,0,1827,0,0,2,5,8,121,1,-1,0,3,0
33888,51,3,1,0,0,618,1,1,0,30,0,277,1,85,1,0,0
13374,58,5,1,2,0,941,0,1,0,9,5,254,1,-1,0,3,0
14140,58,0,1,1,0,0,1,0,0,11,5,116,2,-1,0,3,0
12254,29,1,2,1,1,-580,1,0,2,23,6,123,2,-1,0,3,0
24748,44,2,2,2,0,1240,1,0,0,18,9,88,1,-1,0,3,0
17197,36,9,1,1,0,-90,1,0,0,28,5,110,3,-1,0,3,0
7589,42,4,1,1,0,1607,1,0,2,30,8,108,1,-1,0,3,0
12707,39,4,1,2,0,1007,1,0,0,7,5,86,2,-1,0,3,0
21910,34,3,1,0,0,4,0,0,0,20,1,55,4,-1,0,3,0
10536,48,9,2,2,0,0,0,0,2,16,6,73,4,-1,0,3,0
24798,44,9,1,1,0,2126,0,1,0,18,9,166,1,-1,0,3,0
5998,49,9,1,1,0,-215,1,0,2,26,8,155,2,-1,0,3,0
18350,37,1,1,0,0,704,1,0,0,31,5,183,2,-1,0,3,0
43015,29,9,2,1,0,113,0,0,0,12,3,328,2,183,4,2,1
28800,40,9,1,2,0,1554,0,0,0,30,4,99,1,-1,0,3,0
868,38,4,2,2,0,673,1,0,2,7,8,184,1,-1,0,3,0
37668,55,1,0,0,0,8180,0,0,0,14,8,854,2,360,1,0,1
2825,57,4,1,2,0,0,1,0,2,14,8,124,1,-1,0,3,0
6667,27,0,2,1,0,110,1,0,2,28,8,135,1,-1,0,3,0
40301,28,4,2,2,0,502,0,0,0,16,6,136,2,-1,0,3,1
1099,31,7,2,1,0,671,1,0,2,7,8,193,3,-1,0,3,0
5828,31,7,0,1,0,-274,1,0,2,26,8,283,1,-1,0,3,0
18167,37,0,1,3,0,892,1,0,0,30,5,269,17,-1,0,3,0
28481,26,8,2,1,0,1346,0,0,0,29,4,383,2,-1,0,3,0
10307,44,1,1,1,0,1671,0,0,2,12,6,149,1,-1,0,3,0
40826,29,4,2,2,0,630,0,0,0,11,1,94,3,-1,0,3,0
44484,28,4,2,2,0,6791,0,0,1,9,1,361,1,46,35,0,0
21084,57,7,1,1,0,1315,0,0,0,14,1,260,2,-1,0,3,0
39154,26,1,2,0,0,-887,1,0,0,18,8,827,2,-1,0,3,1
42199,52,10,1,1,0,94,0,0,0,10,9,293,3,190,10,0,1
8699,31,9,2,2,0,321,1,0,2,3,6,25,16,-1,0,3,0
6498,43,4,1,2,0,1379,1,0,2,27,8,383,3,-1,0,3,0
7066,41,0,2,1,0,882,1,1,2,28,8,145,2,-1,0,3,0
32597,30,1,2,1,0,971,1,0,0,17,0,283,1,317,2,1,0
18456,44,4,1,2,0,4460,0,0,1,31,5,168,2,-1,0,3,0
7078,31,1,2,0,0,-495,1,0,2,29,8,334,2,-1,0,3,0
2167,24,1,1,1,0,951,1,0,2,12,8,744,2,-1,0,3,0
18152,35,7,1,1,0,0,1,0,0,30,5,251,3,-1,0,3,0
29937,38,0,2,1,0,-213,1,1,0,4,3,519,1,-1,0,3,0
19858,52,9,1,1,0,172,1,1,0,8,1,75,2,-1,0,3,0
25256,44,9,1,1,0,2626,1,0,0,18,9,170,2,188,3,0,0
32819,59,7,0,0,0,6290,1,0,0,17,0,19,4,-1,0,3,0
33815,71,9,1,2,0,383,0,0,0,27,0,388,3,-1,0,3,1
7076,48,9,1,1,0,219,1,1,2,29,8,154,4,-1,0,3,0
15333,44,1,0,1,0,427,1,0,0,18,5,151,1,-1,0,3,0
28341,53,9,1,1,0,-46,0,0,0,29,4,87,2,-1,0,3,0
10798,39,1,1,0,0,1564,0,0,2,17,6,57,1,-1,0,3,0
37732,40,1,1,0,0,3705,1,0,0,14,8,23,1,332,1,0,0
25651,34,4,1,2,0,395,1,0,0,19,9,202,2,-1,0,3,0
33192,32,1,1,0,0,474,1,0,0,20,0,198,1,-1,0,3,0
32083,49,1,1,1,0,1111,1,1,0,14,0,104,3,-1,0,3,0
35642,39,0,2,1,0,2749,1,0,0,8,8,104,1,170,1,0,0
35928,34,1,2,1,0,551,1,0,0,8,8,347,2,-1,0,3,0
38007,53,5,1,1,0,6095,1,1,0,14,8,410,5,-1,0,3,0
31711,53,1,1,1,0,2531,1,0,0,7,0,413,1,-1,0,3,0
34397,28,1,1,1,0,61,1,0,0,4,8,226,2,319,1,2,1
8029,35,7,0,1,0,440,1,0,2,2,6,101,1,-1,0,3,0
13658,47,0,1,1,0,3434,1,1,1,9,5,337,1,-1,0,3,0
7562,53,4,1,2,0,146,0,0,2,30,8,150,1,-1,0,3,0
2978,56,1,0,1,0,166,1,0,2,14,8,350,2,-1,0,3,0
27288,34,8,1,2,0,3037,1,0,1,21,9,65,1,-1,0,3,0
29767,31,1,1,1,0,1005,0,0,0,4,3,429,2,-1,0,3,0
9875,46,3,1,0,0,75,0,0,2,9,6,302,1,-1,0,3,0
29137,39,9,1,2,0,794,0,0,1,2,3,182,1,-1,0,3,0
23221,35,9,2,1,0,344,0,0,0,27,1,519,16,-1,0,3,1
12441,49,0,1,1,0,2062,0,0,2,30,6,132,4,-1,0,3,0
8446,55,0,0,1,0,873,1,1,2,3,6,131,1,-1,0,3,0
11623,45,0,2,1,0,-198,1,0,2,19,6,130,25,-1,0,3,0
44875,82,5,0,0,0,928,0,0,1,23,11,217,2,188,3,1,0
43714,34,0,1,1,0,920,0,0,0,14,8,526,3,179,3,2,1
34698,30,4,2,2,0,61,1,0,1,5,8,36,7,165,5,1,0
38525,33,9,2,1,0,1064,1,0,0,15,8,173,2,-1,0,3,0
20477,58,5,1,0,0,1472,0,0,0,12,1,74,2,-1,0,3,0
28335,28,6,2,2,0,0,1,0,0,29,4,379,1,192,1,0,0
3258,33,1,2,1,0,49,1,0,2,15,8,558,6,-1,0,3,0
35425,47,1,0,0,0,223,1,0,1,7,8,140,2,-1,0,3,0
41886,59,10,1,1,0,561,0,0,1,19,10,323,2,-1,0,3,0
